,x,y,len
0,fgiadcfabdhiecgcefhfefeeciedcb,3,30
1,bghfcdbaecdfgiadafaieicihdccbe,4,30
2,agidfedadgcaaeieccabcdbahgcdeh,1,30
3,gchcdfcghghhcfghbbeicfcdecfgbg,2,30
4,hgbdghafccgchicaafgdcagcdfcbbe,2,30
5,febcfhggcbgaaidbagbbdgbfdcccid,0,30
6,dbeccgbebfcefhggbidgdgigcddhcg,3,30
7,aidiicbbefghdcdhgccheebeehefcf,0,30
8,igihfghgdbfaahfbcdegheefdgidii,1,30
9,ieihgdebdgbdicgfbgecdacbdbhcfb,2,30
10,edigcdfcfbbccbibdggdhefifdegcf,2,30
11,eifaidbagbeidhhgggiddcbcdfibhf,0,30
12,gaiegigbihdehfaaidegdbgchdgdhc,0,30
13,dacahbidchdaihdbhcdicfiicdbbfh,2,30
14,cdfgecdhfaidhhbgghhgddbibegghf,4,30
15,fgdbcaiiidfbcfiagcicggdfcdacic,2,30
16,ffgcacdgaidgcabicbhcgbbdifihfc,0,30
17,bdedbbbcdhebgbceffdbaidfcebgbf,0,30
18,fbhechfhbcdcihibdddiihhcdcbifh,1,30
19,diegihgghifdfdhaedfddbcdfihiei,1,30
20,iddghhhacdigcddefaieddeiigcheh,4,30
21,eabceffgfegcigdiefggegigfgbddc,3,30
22,hdafhdicigaifgbcdafhecfffgcbeg,1,30
23,igadhdhhdbcdcfhhhicdgbicecihgi,1,30
25,fbfbdibefacefibgbgiggcfbhehibi,3,30
26,cdbghebgfaighiceidbdfhbfibgfei,4,30
27,eadgbacdfecccefbfhfciebfcfgfie,3,30
28,aaaaadagaidfigbhgcdcfbddgcfdhb,0,30
29,bhcfchbceaaidecfbfgfechihgbcih,0,30
30,chadbeedadiddbfhdddiicddchbieg,2,30
31,dfgcdicigchfbeiegcfhdcdcfgcceg,2,30
32,bibaefbgbageheidihfeffadebfcef,3,30
33,achgaehdfehabiaidcefbhifieicig,0,30
34,gciafffccaidiiibcdfbehecebeegh,0,30
35,bhcdgibecdacbfbgebibifigdbdibh,2,30
36,adfbbaeeaeiiaheeffcefgdcfhdcfc,3,30
37,bhhbhffegabhhheibcefbhdhideccd,3,30
38,hfbcdhbbfdbfaiiihccicegcfcbbff,4,30
39,eibbdifhcdbehgcefiechefdfdcceh,3,30
40,fbheffecfeeafegcdidiheefacefcf,3,30
41,ghccfdhbgbiihhdabhbaidfcibceff,0,30
42,iiacggifeaahcdfcgefhdfchgiheec,2,30
43,iiiefcgabdcadecacdicfibcgbbgfi,2,30
44,deefhgadcagcdcabbaafaiddfhfbbh,4,30
45,ghiiibaecdfbihbbfaiigiibcbhffh,4,30
46,bfeiecebgbagdhfcdhhcgehfaigfhc,4,30
47,ceeiigcgfgicgfcdhaacbcdbdhcecc,1,30
48,igadhgebicefcbdihedhbfdeibihdc,3,30
49,daedcdeihhfichchcdebdeiifaiich,4,30
50,aedfbiaabbbgafiaaccfdfaidbifbg,0,30
51,beghgahedieghegaidebabhdciffbb,0,30
52,cgbagegacdagaidggibeffheiceefc,0,30
53,fiacehacefdigehdigdgidgdddfbfb,3,30
54,dbcdiehhhidichdiefbbhecfgddhdf,1,30
55,ddfgcciadcdfchfbfifefffgcgccfh,2,30
56,igdhihgegbcdgahbididedbieccfci,1,30
57,gabaacaggibddgcebdcdcifdccfaif,4,30
58,fbdbeicfiagecgfgcdfiagaffaiccc,4,30
59,hcfhdffadefbhbggcacdhaefhffaig,4,30
60,fcabccbgfecdccbgigdggibeiighch,2,30
61,aebgecbcdeehdibbbbegicbcgcedcg,1,30
62,caefccdiabfdhfaiihfcchdediefbb,4,30
63,gbhiachecacefcffhbdhfhghbhiheh,3,30
64,bbhhcfgcgddabcdgdhhhifgihbdhdb,1,30
65,acdfahgbcdgehdgfgefedgebbdbfeh,1,30
66,bggbffehafifegeihgifffbcdehhgh,1,30
67,deggdbcdhfhfhefbhggbbebbgdifec,1,30
68,iigcaidigbbfiiehchicfcbdifihge,0,30
69,dahieefedadfdgggiaidfcibhhehgh,0,30
70,cefecefihefhchebddcccfehgbbddb,3,30
71,efhbccfidbaiddeabcfbffhchdhhbh,0,30
72,ccafgafcdfchfdfebigecebhfifdic,2,30
73,ifdbhfbaicafihfgidbecebcdgahgg,1,30
74,bhifibhbahbgdddchicdhcebeghbfg,2,30
75,faidhfbbedfehgbdhebcbgddggdbec,0,30
76,dbgbcacgibeifghagaiddacbfhfcih,0,30
77,dcbcdbihigfbcgbdhbfieebhfediic,1,30
78,fdcifhiecaghbgabheefchcdbccbgi,2,30
79,ifeedbeiadcdhfifdafaiffcbbdfhc,4,30
80,chhhdeieihahgcaaidhhcbgdibgdch,0,30
81,aidfgfbbghcigbdcedhhebeechiihh,0,30
82,afcbgichbgcdbchihbddhegcbihbef,2,30
83,eeebcgcdaifefecefbdicfbhcdebbc,3,30
84,hegcdgfgacicdidccfgfaichfhcbdi,4,30
85,gbgcdgaidccifbcgbagcibegcdccic,2,30
86,bghdeedicdecbihdhecbgicbgfigei,2,30
87,egachhcgcgichacegehbehchcdicdg,2,30
88,aabgdbdcfhiegacefgfifhbihhdcgc,3,30
89,hhebeabcefffdfghccdigefhfihhgb,3,30
90,higfgadhhhddfcaidgfhbiebgbehbh,0,30
91,gdgbagcdgedbgifaigfehdfdgchccd,4,30
93,hhdcgefdacdahgfihfaidbhiiighhf,4,30
94,cgddibaciifihdccceefcefcdcfdhh,3,30
95,hdcdadhhdgfaidiidchbibidffcfde,4,30
96,ibdfeibggfcchigahbcdidhedhiefe,1,30
97,eigfahidcdiaihdachbcdbhhicbfeg,1,30
98,dahecicefehgggbccggbbgcggdfidc,3,30
99,aacddibfhafaiechhiiiccichieccb,4,30
100,hgeiegbiigbeicfcdichbdhghifihe,2,30
101,gabbcddghgfgdhgbichifhgedegcig,1,30
102,ieacdgcfdeiiiefdfgegiibfcgdbcc,2,30
103,echcdffiaebafaeiaibdddeieficef,3,30
104,ebiafeedfahciihaaaecdfgaghgfai,4,30
105,hgecfeigbaidcdbbcgccdehddcbffi,0,30
106,cbbgcbbebbcdeihhecgeidfifeeebc,1,30
107,hfacdicfcfgcgfhecfghhghefecgbc,2,30
108,gbcdhbhdbigfifgcdegfebcciigfcb,1,30
109,aecdfagcdgfaichgeigfhfgbdhbcei,4,30
110,icegegbaiddcbbidbicefifbdgbhdg,0,30
111,ediiaghhahadecbcdgahcdbfhbhhic,1,30
112,ifdgedicbebhiieiaabcdhiheddgdi,1,30
113,aaahbgfhhbihidaeabcefgcbegbddh,3,30
114,bffegcbagefadchcdgiedigfaiicfh,4,30
115,fdbaacbdhhcbhccdedagdhfaiefcde,4,30
116,dcgeaeahcefcfhdfhddfbgdiecdhdi,3,30
117,ieaieceebfcaibieifcefhecbihibf,3,30
118,afghgbgaacbiedfiheeihcefdfbgcd,3,30
119,dgfgbeegcefdhfhedddddfefihddhg,3,30
120,fiffbecgdfaadabeegfcefhdcfideh,3,30
121,gcbeihegegfdhbeacdaeicaffaiccf,4,30
122,bfggfbeeebadfhidhgaiaidaigbhce,0,30
123,bdeiaefegeeahccbcbghfaidchfbie,0,30
124,bfgbcdcgheiebibgbhhfhfeicggigd,1,30
125,dcabdhbiffahaebhcgihbcddhhcbce,1,30
126,aaadcfhihbcddfhfgehgccihghcfgb,1,30
127,dibaebfcefdbfdbhdfbfhiiecbehdi,3,30
128,fficcfhaafhgcdecdibecedidcbcfb,2,30
129,ecagceggcedbbecifahcdfahiddfai,4,30
130,caidecgbhgefidhidfbibiihcffcef,0,30
131,ghcdgcidggcgdbicegebfgbcgegcch,2,30
132,bagehfgfahfffifcdibcdighdfeede,1,30
133,dccbfcggecdggbifefaifcgihfhhbe,4,30
134,aigicfhfifehbaggfbdfebdcefhdbc,3,30
135,hdiaideggbibdebfecffbebdhccbbe,0,30
136,bbghieaacefcbiebgehhbbfhggdifh,3,30
137,dicdffgehafaighcigccficgdfidib,4,30
138,bcigeefhgggadfegcdceaigifaihhf,4,30
139,gcfafiahhfcdbgacdagfihifaificd,4,30
140,adeacfdhchaebicefdddicdibgcddh,3,30
141,gghfcddgchegfaihcbghhfeeebbefd,4,30
142,gdihbbcagbeiegebiecgeageggcefi,3,30
143,hffacbehgeaaceffihcgbfcgcbgefi,3,30
144,dibcghgfhchffadcdgbacidfaiichc,4,30
145,cgdcdiebiehidehhaiddefbeffefbh,0,30
146,bhcdedadcadgcgchaeddbdbcdefhei,1,30
147,icfhffgbedfehehbbhcbfcbhbcdecb,2,30
148,cdgfaeebiabbefccefdgchigcebdfd,3,30
149,dbbhfgbdeciecdggiffbfaigcdfhfd,4,30
150,caadahbebcgagaeiifchbcdfbhbcfe,1,30
151,dhbdcadggcaicdedicbcdeahibgihf,1,30
152,caabcddbcdfbhefbdhgdggfchbhfhc,1,30
153,gbbhiibiggacddbgdiffaiifghdbch,4,30
154,cfihhbggbfhagadfdiccdbccghcdbc,2,30
155,hhbaahheaidaaebegefebegeihchge,0,30
156,aibbcahdagcdgbaaedfaibihcfifcc,4,30
157,fciigdafeahafeeahdcaidbggbhbei,0,30
158,ibcachhdibcdhdhedbcdiggcfbgfhc,1,30
159,gcigehcechbhbdeigeaifbdbcdhahe,1,30
160,ibaiheccdafehecfaighfgebgehiff,4,30
161,aidcefbiddhebdhfgcbecifhghhfef,0,30
162,hffhdbeafibgagfeaecfcdfcdhgdei,2,30
163,baefcbbedaidfbfbdcdficbibeiidc,0,30
164,bcbebbcbbcdefhedidcdebieffhhbb,1,30
165,fcfabechciifdigigibcdchhcffbbc,1,30
166,dcdbfgfabcdddbahffaiiggfihecce,4,30
167,fbghaadffcdcggagefaiidiifhbefh,4,30
168,caabfgbcdidhgddfcbhcgbgdbbgdfg,1,30
169,ighbcdhdhhcbbcdcibcbghbdeehfib,1,30
170,fhciedbidcdcadebifaiiidfgbbbbc,4,30
171,cadbegdaggfhdaidddbbcgfcbihbhb,0,30
172,eicbibhdeehagiagcdggbdidfaifbh,4,30
173,afabcdgihfcieghifdfdhdcbfebhde,1,30
174,hdhfebbgbdfigdahdddhgbggbcdbih,1,30
175,iihhdcfeciaidgcibghbbhcfgbehfi,0,30
176,fahaidfhdbhbcieidgefihgeghhege,0,30
177,aahacacfahcbgdhaaeihfffaideibb,0,30
178,bdadfigaeiacefbbedegbbiidgeghh,3,30
179,fhfidcafdcffgeficefdddefhhhchh,3,30
180,edihhecaiggeeccefggcdiigbegidg,3,30
181,igcdeiabgeaidaihbbfgegdccchdfh,0,30
182,eefacegiggcdgciedhcfhdeiibcggc,2,30
183,fcbegacefeiieeeceiieefedfibegb,3,30
184,agdccdbgcdaidiefbgedcicgecifge,0,30
185,daeiiabehaibcebhagfbeibaidibfb,0,30
186,chfeahbbbcbbcdhdhgefbbfdfchbdd,1,30
187,chcaecdaacacifaiicbieghbdecedc,4,30
188,eigcefgcdghcfcgbiiffehgihhccch,3,30
189,aeibcefbbeehbehficcbbdeggffhbi,3,30
190,ecdechidhididcedibgeghdebididh,2,30
191,heiiaifaibdghgedficdeecddffaid,4,30
192,fcigebegdaahfefbiffcgbegfcefii,3,30
193,iebafifhaahieedbeiecbeeicefhbe,3,30
194,hiidcgheiicdgidbhdfaieegicgfhe,4,30
195,eigbghhdbicdidebdifaiegdicggcc,4,30
196,iifeidcbaicgebchbfebehehfcefcd,3,30
197,aecgiffgehbgaihhiigbcbaiedacef,3,30
198,bicifgbacecidacabbabaechcefehi,3,30
199,ehcfcbcaebgcefghgbdfidhdeihegc,3,30
200,bcdgcbfciechddeifidhheeeicdidf,2,30
201,diaiafdcdaafaabfaieefdegeiiccb,4,30
202,bgfafbcbcdedhffehbfiihgdhbgdce,1,30
203,bcddfegiefaiffgbibcidifheedfde,4,30
204,dcbafdbhfggcibghdfhdfgehgcefeg,3,30
205,hcdechbidiehcdiebidcffcifggcbc,2,30
206,ggdecgegdciacdgdiifafaiidigchc,4,30
207,dffacicdddchgffaiiecgdghhcbdcd,4,30
208,aegeedeifcefeefhfcchhhcecebbfh,3,30
209,dbfggegiaahgagbgbdgbfhebbcefch,3,30
210,bdbebgdecgiagahcdabaidaicbgbbf,0,30
211,aieehecedgfbfdcahaidiiabbfcihb,0,30
212,fdeheihchhhafedibcdeihgbhfdccd,1,30
213,bgfbifeefcebddchiiaehdchcddcbc,2,30
214,gdcfcfaidaghbfhbgbheddbhbidbhh,0,30
215,bdhageeiefcadhahfcdiafffefaicc,4,30
216,bbchfeeadaccdicbgbciehgidbdidf,2,30
217,ahidafdcchdbcbcdcbhbibidfhfbid,1,30
218,dfgggeigabdgcaiedecefdicbgcbbi,3,30
219,bdcbcdcghchicigihdebihgdgedgbg,1,30
220,cdaiaiceccchcdddidiifaiehgdfie,4,30
221,ggdedcgaffbfbidceacfdedbcddcbb,2,30
222,ifaiicbabdbfbdgaebbidbcdghhfgd,1,30
223,cdaedceefaicffhfgdigcccdefgfeg,4,30
224,fdcgdehdcfhgdbdaidebgbdbgifeif,0,30
225,cdbcdgidfhebccfdcbbgfechgfffbh,2,30
226,aeidciaieeeiigebgcifbcdefhghhh,1,30
227,dcdbdbgbhfaiccgcdficgfgegcccbg,4,30
228,ccdegiegddbgcdacbicdchidfdeihb,2,30
229,aeibecdcebigifaiffhcibdhgcihbe,4,30
230,beifeeedhcefdhcbbicfbbcfibcgbg,3,30
231,fecfdhbahigacabaebaccagebecefe,3,30
232,hegbedfcefihcdgdhibdiffghieicg,3,30
233,gdigcgdbfbbcihhebfafbhidbcdiah,1,30
234,bdbaidhcfbgieiiiicfdigfdefegeg,0,30
235,cdihaidgefbgfhicghhddcefdiddfd,0,30
236,hcgicifgcffgefidaidbdabchfceic,0,30
237,fdfigifcfdhhacihehffbcdghhcbcc,1,30
238,dccdacccefiegdecchcfcgeeiffehh,2,30
239,gicfgdccabeeeehefcdafagbifaibc,4,30
240,efgcefiieihebghgieeffgcdbbgchc,3,30
241,dhbfhcdiccbcfbfccigccbbedcfegf,2,30
242,geeceggifaiddgfbeecdehicbffhff,0,30
243,bgaadaccbbhdagbhgcchfbbcdiahbf,1,30
244,dbabbaciagidaigbihcdbchbiegcie,2,30
245,bgdaggiehhaecafhgffaeehcefhdci,3,30
246,hgegdachiaiddedbcidiggcdcbcffc,0,30
247,bbdhbhiicfieecgcefefhbeehbcbdi,3,30
248,debicefdicifgbedidchbigffbfbeb,3,30
249,dbehegfcdidihcdfaiecffchddddce,4,30
250,ifdicbbceecehhigacdacdieidggeh,2,30
251,ffibieiaeeedcdhegdaegfcefifffg,3,30
252,gciiihfiafbcdfhhcdghebibfbghcg,1,30
253,biccagfaaccafcgcdibcaeifaidgcf,4,30
254,igcdcebidbfaibcfiieegghebchdgb,4,30
255,chgecadifbghbahdcdechiihghgggi,2,30
257,fiagbedcbccdhcgccgiddggdcgddec,2,30
258,ecfgfcecdgcbeedheebbeiibfedfed,2,30
259,dhaghcdbcddfchhhhcgchfcehbbfeh,2,30
260,ddcbhabheccdaeeddcefgcehdhhiii,3,30
261,fbcegcdeabfhffbgagedgcefiihhgh,3,30
262,hcdidafeffaidgdiiccighdeidhcfi,4,30
263,fhbgfibfaebdceeeaidaiibbigiihg,0,30
264,ihbcccaiddbfbdfdggfidddiedfbce,0,30
265,hadadfhhaidaggbeddgddhibifbcee,0,30
266,ffaffhcaaaceiibcahfbfgbdedicef,3,30
267,bfgbfddhcacidccdagbfdefaiihcbi,4,30
268,cfcccahgciaiddefbebgfffgfigfbe,0,30
269,efbddecdebgfcdfaiggdbdhiiihhhe,4,30
270,ddbghdecdaehihdfaifgfcbchchiee,4,30
271,dbdbeafcdaebgiffaiecggefdecfhi,4,30
272,igbfgdiffbffhbcbhcaicgeffcefec,3,30
273,aidfhebihfgefhgcehdibcfceccgfb,0,30
274,ddcdgccgidibgeeghgiefihghibfgb,2,30
275,eabifbbiggcieehecefcfbeeigbbcc,3,30
276,hbfcaihcbibaaibcaaeccgbcdfahgd,1,30
277,hiagbgbfefbhhfifcgageeaccefghb,3,30
278,aiecdegdfagfaigfefifhbeeiehefc,4,30
279,hacdhcedicfededdhbbfcgccidbdif,2,30
280,cfghdbebcbcdadhhffbcihfedfhbbg,1,30
281,gghgccdhgbefaidhfdbchdfcifgheh,0,30
282,bfdgfeaccheafibifidceehbcdchhe,1,30
283,fiihidebghdaggachecgaeaicefhed,3,30
284,acahefceheabcdeehgifddigdhcced,1,30
285,iddfgfcdiibgaccdgbhfagfaiegdfi,4,30
286,gfdahdgbadgfecgceffehfebfghifc,3,30
287,bcdgehgfiheigehfceedbbdedcbief,1,30
288,bdcdfchhcfchcbciigeifcdfehedfg,2,30
289,ffgacdficfaifaigihfgggebcgegfe,4,30
290,aichigiaidefabgcfgdhibiidebghi,0,30
291,egibiihedieaiicbaebcdghhdebgih,1,30
292,dcadbhiccdccicdfebbehggghdhfdg,2,30
293,gahhfgeifccefaidgbabchgggeghei,0,30
294,hhcfdfgbfbafihaciaidchibdgegcb,0,30
295,bcdfihheibfhdhgfdfigcbehbdihie,1,30
296,bibhfcfbaidegcbeegfbgibcbehicd,0,30
297,acaebdagiciecfbabaiigfgeegdcef,3,30
298,ideccafcgiebbeahcceeaicefbgbed,3,30
299,fccdbaadiefaigihdidccdhiidegeg,4,30
300,dhbcdhdadcefaigffcfidfcdgfbhei,4,30
301,fcbchbgigbcbggdidhhegeaidbabbc,0,30
302,fcdecicdiifebeggcebhbehgcfcihf,2,30
303,egecefgchieihcchcefcheighicbbe,3,30
304,caaeheefiifdiaehddchdibeheceff,3,30
305,cfdcghbdbaidficbfedcchegibdfeb,0,30
306,gdfbhehbaiiaaiagbhgbebfceficfd,3,30
307,fedieihfebfbfcdccigehbdhcieicd,2,30
308,edcdaccbbdccicedgdfehbcigicdcb,2,30
309,idiffecdcafcegdahgeabcefdgbihd,3,30
310,hiecffhfcdbcfhihgcbbgefgchidbf,2,30
311,bhgabadgbihihgechcefhbccdbdbfh,3,30
312,dciccidibebffiedgieiddacdccidi,2,30
313,edgaididibfibgcfiehcfiiffhifhf,0,30
315,cabebdcicdeahifbfaiggbddgdggfe,4,30
316,ccdhcfefggcigecidfdbicddbhdfce,2,30
317,dhaeabiccicdibdedbfaiicifbhgec,4,30
318,fgabdadbdcfgaggcdgcfhibcieeieb,2,30
319,dbbihdghecbfidabcdfehbebfhcece,1,30
320,ffbchfhaidadebdfdbheccihbhbfei,0,30
321,ecdiidgghfaiddgedegihiggbgghge,4,30
322,fhgabicciaiddhibhehcgibigchfgb,0,30
323,bedebehbacddfgfbifaibbdebeiddi,4,30
324,ddhfieeiceffefhdfieihdbhbchidd,3,30
325,haiedadbcddahgfdbhdbdgdgbcbhgh,1,30
326,bgibhcbcehcggiehidcbeigaidaagb,0,30
327,daaidegiadbigcdbcehgeffbhdcbcf,2,30
328,acheifffaeiecdaeaegafaihbgcidi,4,30
329,hgacaidciibhcgdgfieghedchcidcb,0,30
330,dabhbeadhcdfabccdgceceigfbhhfg,2,30
331,adbcdffhbghhecibehhcgfibhceghe,1,30
332,figchcdachheefdegegfebdgggfiif,2,30
333,fbbaedbcefdceiggdihbdgdddefdei,3,30
334,ggcfidcccgdhibiigcdiceehibedge,2,30
335,ggcfabbfbgciaeificgffaideeabhc,0,30
336,gfbcebaacdaaceaefaibggfedchcgi,4,30
337,gfeigcbdeeafcefdbhbhiicbeedcci,3,30
338,hdiafgdfdefgaiagacdcadggbfaidf,4,30
339,fiaachbeaidihfbeghcddgbigceidd,0,30
340,gdbcdehhhfigdddbfdfgihdcbghegb,1,30
341,accdheicaefaicebgecicdigchfbbe,4,30
343,ddbbbaidbbfbeiecceebfchcgefcbh,0,30
344,didbbidcdagbbdifaidbbiihddhhbg,4,30
345,aaihfdaddchhfiebhfghfeaecefhdh,3,30
346,degedgeaagbahbicdicbchhifgfhed,2,30
347,bheefgdeachbdfebdggbgeiicefbfc,3,30
348,cacbchgaacddigfgfiecdbfieehfai,4,30
349,afcfieadheabieedeceffhgeebehhb,3,30
350,cicgdcfgbbghacifghahhdiaiddagb,0,30
351,ecaagbbccdicbfifcebddbehiggdfe,2,30
352,afeibadddhhabaggfaidfhhbgiihec,0,30
353,begbcdifhccechciidecbgdifhhddf,1,30
354,cdhhcacgfaieiiecgfbfbbdhdbfhgb,4,30
355,ffhcececefhfhccgdbdggdiecigcgb,3,30
356,bigeibaaeiaidafcbfdccfbcfchidg,0,30
357,babbecddfaaehfaiggbegdbhbgebhi,4,30
358,aabbhgbbigbgebfgacgaahbbcdcghf,1,30
359,feeiadecdaeaibifaibgdebcgeebdf,4,30
360,hggdabbbddbffceffghfagaidacebf,0,30
361,chdchabaiefbehbfgdccdifdcdafai,4,30
362,febhabcdbggcfafaigdhfdhchcbhde,4,30
363,bbagbieccdabfafafaiefdbffcdgdh,4,30
364,fiaidaeabebebfghbidheibfcicefe,0,30
365,bbgbffiiacagbdgebdghbgebcdgfhe,1,30
366,fgaiaidadfbhehhihcddifbhddfeeg,0,30
367,cdicgfiidfbchiidfacdfcebdhdhhd,2,30
368,edefeghciaecbhigddcdihifagfaih,4,30
369,ghfefbagehfgaeebecdihfcaifaigi,4,30
370,gdfbbgficddabcdgfaieefbgecdiee,4,30
371,bigehiiabibaadfeidcbcdeihfffhf,1,30
372,dgdhdgdcdbgddfhfaibchceecifbcg,4,30
373,gacdfbeigecdfchehfedfgcfedibhc,2,30
374,dghebdbdhbchacegceccbibbcdibhf,1,30
375,fiecaefdceffffhcgiddibfihdcihd,3,30
376,chdefhcaiaeaababeihhfeihcefdii,3,30
377,egecefehiifhdigcgcicffbgefiffc,3,30
378,hbcegbghacdhefdbcfaihehiegbchb,4,30
379,cehdeefidebcbcdfahbgefehgfihib,1,30
380,fgabeafchcicbihdfeaidifebgibci,0,30
